Official Title,Posting Number,Department,Active Applications,Workflow State,Last Status Update,All Submitted Applications,Incomplete Applications,Close Date,Closing Date,FTE,Pay Rate
Temporary Faculty - Music,0600228,Academic Office,0,Filled,"October 28, 2010 at 03:04 PM",16,0,Open Until Filled,,,Dependent on Education and Experience
Adjunct Faculty - Sociology & Social Work,,Academic Office,0,Filled,"October 18, 2010 at 03:53 PM",2,0,Open Until Filled,,,Dependent on Education and Experience
Adjunct Faculty - Health Science,,Academic Office,0,Filled,"April 29, 2013 at 12:30 PM",1,0,Open Until Filled,,,Dependent on Education and Experience
Online Adjunct Faculty--FDREL 212: New Testament II,0600214,Online Learning Administration,0,Cancelled,"February 10, 2010 at 10:48 AM",0,0,Open Until Filled,,,
Online Adjunct Faculty--FDHUM 103: Art and Propaganda in the 20th Century,0600368,Online Learning Administration,0,Filled,"March 18, 2011 at 04:22 PM",9,0,Dec 31,31.12.2010,,$815 per course credit hour (most courses are 2-3 credits)
Adjunct Faculty - Computer Science & Electrical Engineering,,Academic Office,0,Filled,"April 29, 2013 at 12:28 PM",6,0,Open Until Filled,,,Dependent on Education and Experience
Adjunct Faculty - Theatre & Dance,,Academic Office,0,Filled,"April 29, 2013 at 12:30 PM",7,0,Open Until Filled,,,Dependent on Education and Experience
Online Adjunct Faculty--ENG 355: Children's Literature,0600367,Online Learning Administration,0,Filled,"April 21, 2011 at 03:37 PM",22,0,Dec 31,31.12.2010,,$815 per course credit hour (most courses are 2-3 credits)
Adjunct Faculty - Religious Education,,Academic Office,0,Filled,"April 29, 2013 at 12:31 PM",6,0,Open Until Filled,,,Dependent on Education and Experience
Online Adjunct Faculty--FDREL 212: New Testament,,Online Learning Administration,0,Cancelled,"July 27, 2011 at 02:54 PM",0,0,Jun 25,25.06.2009,,
Temporary Faculty - Communication,,Academic Office,0,Filled,"April 19, 2010 at 09:11 AM",1,0,Open Until Filled,,,Dependent on Education and Experience
Temporary Faculty - Recreation Management,0600227,Academic Office,0,Filled,"October 28, 2010 at 03:27 PM",6,1,Open Until Filled,,,Dependent on Education and Experience
Groundskeeper,0600230,Grounds,0,Filled,"March 31, 2010 at 07:40 PM",49,0,Mar 02,02.03.2010,1,"Pay scale begins at $28,800/yr"
College Career & Academic Advisor,,Online Instruction,0,Filled,"March 12, 2010 at 04:43 PM",14,0,Feb 03,03.02.2010,1,Payscale begins at $19.21/hr; employees should review specific wage information with Human Resources
Online Adjunct Faculty--ECON 111: Econ Principles & Problems-Macro,0600222,Online Learning Administration,0,Filled,"April 21, 2011 at 03:20 PM",25,0,Open Until Filled,,,
Online Adjunct Faculty--FDREL 325: Doctrine & Covenants II,0600216,Online Learning Administration,0,Filled,"February 26, 2016 at 01:08 PM",26,0,Open Until Filled,,,
Temporary Faculty - Business Management,0600239,Academic Office,0,Filled,"October 28, 2010 at 02:57 PM",7,0,Open Until Filled,,,Dependent on Education and Experience
Online Adjunct Faculty-FDMAT 222: Bio Statistics,0600369,Online Learning Administration,0,Filled,"April 21, 2011 at 03:38 PM",7,0,Dec 31,31.12.2010,,$815 per course credit hour (most courses are 2-3 credits)
Online Adjunct Faculty--FDMAT 223: Social Science Statistics,0600370,Online Learning Administration,0,Filled,"April 21, 2011 at 03:39 PM",8,0,Dec 31,31.12.2010,,$815 per course credit hour (most courses are 2-3 credits)
Apprentice Electrician,,Electrical Shop,0,Cancelled,"May 28, 2010 at 12:49 PM",0,0,Apr 07,07.04.2010,.75,Pay scale begins at $13.85/hr; eligible employees should consult with HR for further information
Adjunct Faculty - Home & Family,,Academic Office,0,Filled,"April 29, 2013 at 12:30 PM",16,0,Open Until Filled,,,Dependent on Education and Experience
Online Adjunct Faculty--FDREL 333: Teachings of the Living Prophets,0600371,Online Learning Administration,0,Filled,"February 26, 2016 at 11:48 AM",23,1,Dec 03,03.12.2010,,$815 per course credit hour (most courses are 2-3 credits)
Office Assistant II,,Teacher Education,0,Filled,"June 16, 2010 at 09:00 AM",4,0,May 25,25.05.2010,1.0,"Pay scale begins at $31,900/yr; employees should consult with HR for more specific information"
Online Adjunct Faculty--FDREL 212: New Testament II,0600215,Online Learning Administration,0,Filled,"April 20, 2011 at 01:25 PM",22,0,Open Until Filled,,,
Office Assistant II,,Education & Human Development,0,Filled,"June 16, 2010 at 08:53 AM",10,0,Apr 14,14.04.2010,.92,Pay scale begins at a minimum of $15.35/hr; employees should consult with HR for more specific info
Adjunct Faculty - General Studies,,Academic Office,0,Filled,"April 29, 2013 at 12:29 PM",6,0,Open Until Filled,,,Dependent on Education and Experience
Adjunct Faculty - Sociology & Social Work,,Academic Office,0,Filled,"April 29, 2013 at 12:31 PM",4,0,Open Until Filled,,,Dependent on Education and Experience
Adjunct Faculty - English,,Academic Office,0,Filled,"April 30, 2013 at 12:00 PM",41,1,Open Until Filled,,,Dependent on Education and Experience
Online Adjunct Faculty--ID 242: Calculations,0600249,Online Learning Administration,0,Filled,"April 21, 2011 at 03:12 PM",1,0,Open Until Filled,,,
Postal Specialist,,Mail Services,0,Filled,"April 13, 2010 at 10:50 AM",11,0,Mar 31,31.03.2010,1,Pay scale starts at $10.27/hr
Temporary Faculty - Physical Sciences,0600225,Academic Office,0,Filled,"October 28, 2010 at 03:20 PM",6,0,Open Until Filled,,,Dependent on Education and Experience
Project Coordinator,0600233,Academic Technology Services,0,Filled,"June 16, 2010 at 09:41 AM",18,1,Mar 09,09.03.2010,1,"Payscale begins at $57,000/yr"
Library Assistant II,,McKay Library,0,Cancelled,"December 16, 2010 at 09:57 AM",6,1,Mar 25,25.03.2010,1.0,"Pay scale begins at a minimum of $28,800/yr; employees should visit with HR for specific information"
Online Adjunct Faculty--COMM 350:Group Dynamics,0600373,Online Learning Administration,0,Filled,"April 21, 2011 at 03:39 PM",21,1,Dec 31,31.12.2010,,$815 per course credit hour (most courses are 2-3 credits)
Online Adjunct Faculty-GS 103: Study Skills Modules,0600372,Online Learning Administration,0,Filled,"April 21, 2011 at 03:34 PM",42,0,Dec 03,03.12.2010,,$815 per course credit hour (most courses are 2-3 credits)
Online Adjunct Faculty -- GS 120,0600253,Online Learning Administration,0,Filled,"April 21, 2011 at 03:17 PM",33,3,Open Until Filled,,,
Surplus Specialist,0600232,Purchasing & Travel,0,Filled,"March 31, 2010 at 07:28 PM",28,0,Mar 04,04.03.2010,.40,Pay scale begins at $12.50/hr
Full-time Faculty - Home & Family,0600241,Academic Office,0,Filled,"October 28, 2010 at 03:00 PM",10,0,Apr 18,18.04.2010,,Dependent on Education and Experience
Scheduling Specialist,0600234,Student Records & Registration,0,Filled,"April 15, 2010 at 08:56 AM",51,1,Mar 16,16.03.2010,1,Pay scale begins at $12.51/hr
Adjunct Faculty - English,0600260,Academic Office,0,Filled,"May 05, 2011 at 02:47 PM",26,2,Open Until Filled,,,Dependent on Education and Experience
Cashier,,Cashier & Ticket Services,0,Filled,"April 13, 2010 at 10:48 AM",5,0,Mar 04,04.03.2010,.92,Pay scale begins at $12.51/hr; employees need to visit with HR for specific salary information
Online Adjunct Faculty--FDMAT 108: Mathematical Tools for the Real World,0600374,Online Learning Administration,0,Filled,"March 18, 2011 at 04:41 PM",11,0,Dec 31,31.12.2010,,$815 per course credit hour (most courses are 2-3 credits)
Office Assistant II,0600235,Housing & Student Living,0,Filled,"June 16, 2010 at 09:07 AM",70,0,Mar 22,22.03.2010,1,"Pay scale begins at a minimum of $31,900/yr"
Financial Aid Advisor,,Student Financial Aid ,0,Filled,"April 13, 2010 at 10:47 AM",19,0,Mar 11,11.03.2010,1.0,"Pay scale begins at $35,650/yr; employees should discuss specific salary with HR"
Adjunct Faculty - Design and Construction Management,,Design and Construction Management,0,Filled,"February 14, 2013 at 08:22 AM",3,0,Open Until Filled,,,Dependent on Education and Experience
Temporary Faculty - Foreign Languages (German),0600242,Academic Office,0,Filled,"October 28, 2010 at 02:55 PM",1,0,Open Until Filled,,,Dependent on Education and Experience
Online Adjunct Faculty--ACCTG 202: Managerial Accounting,0600375,Online Learning Administration,0,Filled,"April 21, 2011 at 03:40 PM",11,0,Dec 31,31.12.2010,,$815 per course credit hour (most courses are 2-3 credits)
Online Adjunct Faculty--COMM 250: Intro to Organizational Communication,0600376,Online Learning Administration,0,Filled,"March 18, 2011 at 03:48 PM",17,0,Dec 03,03.12.2010,,$815 per course credit hour (most courses are 2-3 credits)
Academic Applications Analyst (1 Year Temporary),0600246,Academic Technology Services,0,Filled,"May 19, 2010 at 10:13 AM",8,0,Apr 27,27.04.2010,1,"Offer depends on qualifications; fully qualified minimum salary is $57,000/yr"
Custodian,,Custodial Services,0,Cancelled,"May 28, 2010 at 12:44 PM",2,0,Apr 07,07.04.2010,.75,Pay scale begins at $11.28; eligible employees should consult with HR for further information
Adjunct Faculty - Mathematics,,Academic Office,0,Filled,"April 29, 2013 at 12:31 PM",7,0,Open Until Filled,,,Dependent on Education and Experience
Head Resident,0600377,Housing & Student Living,0,Filled,"December 23, 2010 at 04:36 PM",26,1,Nov 29,29.11.2010,.7,Monthly stipend of $765 and 2 bdr apartment (with utilities and local phone)
Online Adjunct Faculty-- CIT 140: Microapplications,0600255,Online Learning Administration,0,Filled,"April 21, 2011 at 03:14 PM",12,0,Open Until Filled,,,
Chiller Technician,0600263,HVAC Shop,0,Filled,"July 15, 2010 at 02:47 PM",15,1,Jun 23,23.06.2010,1,"Pay scale begins at $44,955/yr"
Testing Center Assistant I,0600247,Testing Center,0,Filled,"June 16, 2010 at 09:06 AM",20,2,Apr 21,21.04.2010,1,Pay scale begins at a minimum of $10.27/hr
Arborist,0600380,Grounds,0,Filled,"January 27, 2011 at 04:28 PM",24,0,Jan 04,04.01.2011,1,"Starting salary $35,657/yr"
Adjunct Faculty - Academic Support,,Academic Office,0,Filled,"April 29, 2013 at 12:19 PM",5,1,Open Until Filled,,,Dependent on Education and Experience
Pathway International Director,0600254,Online Learning Administration,0,Filled,"August 30, 2010 at 08:29 AM",36,0,May 13,13.05.2010,1,"Pay scale begins at $73,000/yr"
Sound Engineer/Lighting Assistant,0600280,Events Management,0,Filled,"August 19, 2010 at 01:16 PM",17,0,Jul 26,26.07.2010,1,"Payscale begins at a minimum of $44,900/yr"
Internships & Career Services Director,,International Services,0,Filled,"June 16, 2010 at 08:51 AM",4,0,Apr 27,27.04.2010,1,"Pay scale begins at a minimum of $73,000/yr"
Temporary Faculty - Home & Family (Child Development),0600289,Academic Office,0,Filled,"May 05, 2011 at 02:44 PM",4,1,Open Until Filled,,,Dependent on Education and Experience
Full-time Faculty - Nursing,0600288,Academic Office,0,Filled,"November 22, 2010 at 10:38 AM",3,0,Open Until Filled,,,Dependent on education and experience.
Office Assistant III,,Academic Office,0,Filled,"June 16, 2010 at 09:02 AM",16,0,May 10,10.05.2010,1,"Pay scale begins at $35,650/year; employees should consult with HR for specific information"
Temporary Faculty - Home & Family (Family Relations),0600287,Academic Office,0,Filled,"November 22, 2010 at 10:34 AM",9,1,Open Until Filled,,,Dependent on Education and Experience
Admissions Specialist,,Admissions,0,Filled,"December 16, 2010 at 09:54 AM",6,0,Sep 14,14.09.2010,1,Pay scale begins at $11.28/hr
Temporary Faculty - Teacher Education,0600275,Academic Office,0,Filled,"October 28, 2010 at 02:43 PM",4,1,Open Until Filled,,,Dependent on Education and Experience
Adjunct Faculty - Mathematics,0600273,Academic Office,0,Filled,"November 22, 2010 at 10:37 AM",4,0,Open Until Filled,,,Dependent on Education and Experience
Adjunct Faculty - Nursing,,Academic Office,0,Filled,"April 30, 2013 at 11:27 AM",14,0,Open Until Filled,,,Dependent on Education and Experience
Office Assistant II,,Information Technology,0,Cancelled,"August 10, 2010 at 08:38 AM",4,0,Jun 23,23.06.2010,1,"Payscale begins at a minimum of $31,900 per year; employees should consult with HR for specific info"
Financial Aid Advisor (2 openings),0600248,Student Financial Aid ,0,Filled,"May 18, 2010 at 11:39 AM",97,0,Apr 26,26.04.2010,1.0,"Pay scale begins at a minimum of $35,650/yr"
Temporary Faculty - English,0600290,Academic Office,0,Filled,"November 22, 2010 at 10:33 AM",6,0,Open Until Filled,,,Dependent on Education and Experience
Office Assistant I,0600381,Online Instruction,0,Filled,"February 08, 2011 at 09:44 AM",48,4,Jan 05,05.01.2011,1,"Starting salary $26,000/yr"
Billing and Coding Specialist,0600300,Student Health Center,0,Filled,"November 05, 2010 at 09:43 AM",12,0,Sep 14,14.09.2010,1.0,"Pay scale begins at a minimum of $35,600/yr."
Online Adjunct Faculty-- COMM 273: Professional Presentations,0600257,Online Learning Administration,0,Filled,"April 21, 2011 at 03:15 PM",28,0,Open Until Filled,,,
Online Adjunct Faculty-- COMM 280: Applied Statistics and Research,0600258,Online Learning Administration,0,Filled,"April 21, 2011 at 03:16 PM",6,0,Open Until Filled,,,
Transfer Evaluation Specialist,0600384,Student Records & Registration,0,Filled,"February 08, 2011 at 09:45 AM",87,4,Jan 05,05.01.2011,1,"Starting salary $31,938/yr"
Online Adjunct Faculty--FDENG 201: Advanced Writing/Critical Thinking,0600238,Online Learning Administration,0,Filled,"April 21, 2011 at 03:18 PM",43,0,Open Until Filled,,,
Counselor,0600270,Counseling,0,Filled,"August 30, 2010 at 10:02 AM",48,0,Jul 01,01.07.2010,1,"Payscale begins at a minimum of $64,400/yr"
Online Programs Advisor,0600383,Online Instruction,0,Filled,"March 03, 2011 at 01:33 PM",76,2,Jan 04,04.01.2011,1,"Staring salary $39,950/yr"
Online Adjunct Faculty -- ART 130: Intro to Graphic Design,0600292,Online Learning Administration,0,Filled,"March 18, 2011 at 03:18 PM",5,0,Open Until Filled,,,
Online Adjunct Faculty-- COMM 273: Professional Presentations,0600256,Online Learning Administration,0,Cancelled,"May 12, 2010 at 02:28 PM",0,0,Open Until Filled,,,
Groundskeeper,,Grounds,0,Filled,"May 28, 2010 at 12:47 PM",1,0,May 20,20.05.2010,1,
Curriculum Development Manager,0600268,Curriculum Development,0,Filled,"August 19, 2010 at 01:18 PM",20,0,Jun 24,24.06.2010,1,"Payscale begins at $57,000/yr"
Security Officer,0600261,University Security & Safety,0,Filled,"June 29, 2010 at 08:18 PM",52,1,Jun 02,02.06.2010,.75,Pay scale begins at $15.35/hr
"Adjunct Faculty - Health, Recreation, and Human Performance",,Academic Office,0,Filled,"April 29, 2013 at 12:30 PM",20,0,Open Until Filled,,,Dependent on Education and Experience
Software Engineer (1 Year Temporary),0600284,Software Engineering,0,Filled,"August 30, 2010 at 08:27 AM",9,0,Aug 01,01.08.2010,1,"Payscale begins at a minimum of $57,000/yr"
Online Adjunct Faculty--AUTO 125: Auto Maintenance I,0600250,Online Learning Administration,0,Filled,"April 21, 2011 at 03:18 PM",5,0,Open Until Filled,,,
Office Assistant III,,Human Resources,0,Filled,"June 15, 2010 at 04:21 PM",17,0,May 19,19.05.2010,1.0,"Payscale begins at $35,650/yr; employees should consult with HR for more specific information"
Adjunct Faculty - Mechanical Engineering,,Academic Office,0,Filled,"April 29, 2013 at 12:31 PM",7,0,Open Until Filled,,,Dependent on Education and Experience
Internship Coordinator,0600285,International Services,0,Filled,"August 30, 2010 at 10:06 AM",92,2,Jul 26,26.07.2010,1,"Payscale begins at a minimum of $50,600/yr"
Online Adjunct Faculty -- ID 160: Architecture Drafting and Detailing,0600295,Online Learning Administration,0,Filled,"April 21, 2011 at 03:28 PM",11,0,Open Until Filled,,,
Office Assistant II,,Student Activities,0,Cancelled,"August 24, 2010 at 04:31 PM",5,0,Jul 21,21.07.2010,1.0,"Payscale begins at a minimum of $31,900/yr"
Office Assistant I,0600267,Alumni,0,Filled,"July 08, 2010 at 04:17 PM",53,2,Jun 17,17.06.2010,.50,Pay scale begins at $12.51/hr
Temporary Faculty - Biology,,Academic Office,0,Filled,"September 21, 2010 at 12:37 PM",2,0,Open Until Filled,,,Dependent on Education and Experience
Office Assistant II,,Events Management,0,Filled,"July 14, 2010 at 12:03 PM",5,0,Jun 23,23.06.2010,1,"Payscale begins at a minimum of $31,900 per year; employees should consult with HR for specific info"
Temporary Faculty - Dance,,Academic Office,0,Filled,"December 29, 2010 at 02:38 PM",1,0,Open Until Filled,,,Dependent on Education and Experience
Temporary Faculty - English,0600385,Academic Office,0,Filled,"June 15, 2011 at 03:42 PM",20,0,Mar 20,20.03.2011,,Dependent on Education and Experience
Office Assistant,0600286,Pathway - International,0,Filled,"August 19, 2010 at 01:17 PM",29,0,Jul 27,27.07.2010,.50,Pay scale begins at $12.51/hr
Template for Online Postings,,Online Learning Administration,0,Cancelled,"July 27, 2011 at 02:54 PM",0,0,Jun 25,25.06.2009,,$815 per course credit hour (most courses are 2-3 credits)
Office Assistant I,,Geology,0,Filled,"February 11, 2011 at 11:10 AM",10,0,Dec 24,24.12.2010,.50,"Starting salary $26,000/yr"
Online HR Manager,0600271,Online Learning Administration,0,Filled,"August 30, 2010 at 10:01 AM",31,0,Jun 30,30.06.2010,1,"Pay scale begins at a minimum of $57,000/yr"
Sound Engineer/Lighting Assistant,,Events Management,0,Cancelled,"February 16, 2012 at 03:50 PM",0,0,Jul 26,26.07.2010,1,"Payscale Begins at a minimum of $44,955/yr"
Online Instructor Manager,0600252,Online Learning Administration,0,Cancelled,"May 28, 2010 at 09:57 AM",21,0,May 11,11.05.2010,1,"Pay scale begins at $57,000/yr"
Internship Coordinator (2 openings),,International Services,0,Filled,"July 15, 2010 at 11:12 AM",15,2,Jun 17,17.06.2010,1,"Payscale begins at a minimum of $50,600/yr; employees should consult with HR for more specific info"
Lead Custodian,0600308,Custodial Services,0,Filled,"December 16, 2010 at 09:51 AM",41,1,Sep 22,22.09.2010,1,Pay scale begins at $12.51/hr
Online Instruction Director,0600272,Online Learning Administration,0,Filled,"August 30, 2010 at 09:58 AM",23,1,Jul 13,13.07.2010,1,"Payscale begins at a minimum $73,000/year"
Adjunct Faculty - Biology,,Academic Office,0,Filled,"April 29, 2013 at 12:22 PM",19,0,Open Until Filled,,,Dependent on Education and Experience
Get Prepared/I-Help Manager,,Home & Family,0,Cancelled,"July 10, 2010 at 10:09 AM",0,0,Not specified,,1,Pay scale begins at a minimum of $
Equipment Operator,,Grounds,0,Filled,"December 16, 2010 at 09:56 AM",1,0,Sep 18,18.09.2010,.75,Pay scale begins at a minimum of $13.85/hr.
Temporary Faculty - Teacher Education (Early Childhood Special Education),0600386,Academic Office,0,Filled,"June 15, 2011 at 03:31 PM",6,1,Mar 20,20.03.2011,,Dependent on Education and Experience
Online Adjunct Faculty--B 100: Intro to Business Management,0600323,Online Learning Administration,0,Filled,"April 21, 2011 at 03:31 PM",15,0,Nov 24,24.11.2010,,$815 per course credit hour (most courses are 2-3 credits)
Baker,0600317,University Food Services,0,Filled,"December 08, 2010 at 04:06 PM",19,1,Oct 25,25.10.2010,1,Pay scale begins at $12.51/hr
Full-time Faculty - Nursing,0600303,Academic Office,0,Cancelled,"September 11, 2010 at 03:59 PM",0,0,Open Until Filled,,,Dependent on education and experience.
Temporary Faculty - Teacher Education,0600387,Academic Office,0,Filled,"June 15, 2011 at 03:36 PM",47,2,Mar 20,20.03.2011,,Dependent on Education and Experience
Get Connected/I-Help Manager,0600282,Human Resources,0,Cancelled,"December 08, 2010 at 04:14 PM",43,0,Jul 20,20.07.2010,1,"Pay scale begins at a minimum of $50,650/yr"
Online Adjunct Faculty -- B 101: Introduction of Business,0600293,Online Learning Administration,0,Filled,"April 21, 2011 at 03:30 PM",60,2,Open Until Filled,,,
Internship Coordinator,,International Services,0,Filled,"August 30, 2010 at 10:13 AM",1,0,Aug 31,31.08.2010,1,
Online Adjunct Faculty--B 370: Human Resource Management,0600325,Online Learning Administration,0,Filled,"April 21, 2011 at 03:36 PM",14,0,Dec 31,31.12.2010,,$815 per course credit hour (most courses are 2-3 credits)
Full-time Faculty - Nursing,,Academic Office,0,Filled,"October 29, 2010 at 11:30 AM",1,0,Open Until Filled,,,Dependent on education and experience.
Office Assistant II,,Foundations & Interdisciplinary Studies,0,Filled,"August 24, 2010 at 04:30 PM",1,0,Jul 21,21.07.2010,0.6,Payscale begins at a minimum of $15.35/hr
Pathway Director,,Online Learning Administration,0,Filled,"June 16, 2010 at 09:04 AM",1,0,Jun 17,17.06.2010,1,
Online Adjunct Faculty -- B 120: Consultive Sales/Customer Rel.,0600294,Online Learning Administration,0,Filled,"April 21, 2011 at 03:29 PM",14,0,Open Until Filled,,,
Online Adjunct Faculty--CHILD 210: Child Development,0600296,Online Learning Administration,1,Filled,"April 30, 2015 at 11:45 AM",21,0,Open Until Filled,,,
Online Adjunct Faculty -- B 101: Introduction of Business,,Online Learning Administration,0,Cancelled,"July 29, 2010 at 12:27 PM",0,0,Open Until Filled,,,
Internal Audit Director,0600312,Internal Auditing,0,Filled,"November 05, 2010 at 09:39 AM",13,0,Sep 28,28.09.2010,1,"Payscale begins at a minimum of $83,000/yr"
Online Adjunct Faculty--B 220: Business Communications,0600360,Online Learning Administration,0,Filled,"April 21, 2011 at 03:43 PM",30,0,Dec 31,31.12.2010,,$815 per course credit hour (most courses are 2-3 credits)
University Store Accountant,0600301,University Store,0,Filled,"November 05, 2010 at 09:44 AM",50,1,Sep 14,14.09.2010,1.0,"Pay scale begins at a minimum of $50,600/yr."
Online Adjunct Faculty--FDINT 202: The Developing World,0600276,Online Learning Administration,0,Filled,"April 21, 2011 at 03:14 PM",1,0,Open Until Filled,,,
"Temporary Faculty - Health, Recreation, Human Performance",0600388,Academic Office,0,Filled,"June 15, 2011 at 03:17 PM",11,1,Mar 20,20.03.2011,,Dependent on Education and Experience
Postal Specialist,0600291,Mail Services,0,Filled,"November 05, 2010 at 09:47 AM",76,2,Aug 08,08.08.2010,1,Pay scale begins at a minimum of $12.51/hr
Temporary Faculty - Teacher Education,0600313,Academic Office,0,Filled,"October 28, 2010 at 02:38 PM",14,1,Open Until Filled,,,Dependent on Education and Experience
Full-time Faculty - Psychology,0600299,Academic Office,0,Filled,"December 29, 2010 at 11:52 AM",6,1,Oct 12,12.10.2010,,Dependent on Education and Experience
Interpreting & Captioning Services Coordinator,0600319,Academic Learning,0,Filled,"December 08, 2010 at 03:46 PM",4,1,Nov 18,18.11.2010,1,"Starting salary $50,650/yr"
Full-time Faculty - Accounting,0600334,Academic Office,0,Filled,"May 13, 2011 at 04:06 PM",14,1,Jan 16,16.01.2011,,Dependent on education and experience.
Adjunct Faculty - Communication,,Academic Office,0,Filled,"April 29, 2013 at 12:26 PM",7,0,Open Until Filled,,,Dependent on Education and Experience
Office Assistant I,0600349,Instructional Development,0,Filled,"December 23, 2010 at 10:13 AM",36,3,Nov 29,29.11.2010,.50,Starting wage $12.51/hr
Online Adjunct Faculty-Test,,Online Learning Administration,0,Filled,"September 22, 2010 at 12:02 PM",1,0,Jun 25,25.06.2009,,$815 per course credit hour (most courses are 2-3 credits)
Digital Content / Intellectual Property Rights Specialist,,Academic Technology Services,0,Cancelled,"February 16, 2012 at 03:49 PM",0,0,Jan 18,18.01.2011,1.0,"Staring salary $57,000/yr"
Temporary Faculty - Architecture & Construction,0600392,Academic Office,0,Filled,"April 20, 2011 at 08:47 AM",5,0,Open Until Filled,,,Dependent on Education and Experience
Facilities Management Coordinator,0600298,Facilities Management,0,Filled,"November 05, 2010 at 09:44 AM",35,1,Sep 06,06.09.2010,1.0,"Pay scale begins at a minimum of $50,600/yr."
Temporary Faculty - Foreign Languages (French),0600391,Academic Office,0,Filled,"June 15, 2011 at 03:40 PM",3,1,Mar 16,16.03.2011,,Dependent on Education and Experience
Temporary Faculty - Biology,0600390,Academic Office,0,Filled,"June 15, 2011 at 03:37 PM",8,0,Mar 16,16.03.2011,,Dependent on Education and Experience
Online Adjunct Faculty--B 370: Human Resource Management,0600348,Online Learning Administration,0,Filled,"April 21, 2011 at 03:27 PM",0,0,Dec 01,01.12.2010,,$815 per course credit hour (most courses are 2-3 credits)
Online Adjunct Faculty--ENG 110: Intro to English Studies,0600393,Online Learning Administration,0,Filled,"April 06, 2011 at 11:32 AM",6,0,Jan 31,31.01.2011,,$815 per course credit hour (most courses are 2-3 credits)
Creative Services Manager,0600279,University Communications,0,Filled,"November 05, 2010 at 09:23 AM",33,2,Jul 28,28.07.2010,1.0,"Pay scale begins at a minimum of $57,000/yr"
Full-time Faculty - Health,0600329,Academic Office,0,Filled,"June 07, 2011 at 08:16 AM",17,2,Jan 16,16.01.2011,,Dependent on education and experience.
Benefits Coordinator,,Human Resources,0,Filled,"December 16, 2010 at 09:55 AM",1,0,Sep 14,14.09.2010,1.0,"Payscale begins at $50,650/yr"
Audio Production Engineer,0600394,Events Management,0,Filled,"March 03, 2011 at 01:27 PM",9,0,Feb 02,02.02.2011,1.0,"Starting Salary $44,900"
Office Assistant I,,Admissions,0,Filled,"February 11, 2011 at 11:09 AM",12,0,Jan 12,12.01.2011,1.0,"Starting salary $26,000/yr"
Online Adjunct Faculty--ENG 106: Basic Writing,0600395,Online Learning Administration,0,Filled,"April 21, 2011 at 04:11 PM",5,0,Jan 14,14.01.2011,,$815 per course credit hour (most courses are 2-3 credits)
Student Honor Administrator,0600281,Student Honor Office,0,Filled,"November 05, 2010 at 09:48 AM",63,0,Jul 28,28.07.2010,1,"Pay scale begins at a minimum of $57,000/yr"
Full-Time Faculty - Nursing,0600333,Academic Office,0,Filled,"April 20, 2011 at 08:54 AM",3,0,Open Until Filled,16.01.2011,,Dependent on Education and Experience
Office Assistant II,0600310,Information Technology,0,Filled,"November 05, 2010 at 09:42 AM",45,3,Sep 28,28.09.2010,1,"Pay scale begins at a minimum of $31,900/yr."
Cook,0600314,University Food Services,0,Cancelled,"November 05, 2010 at 09:24 AM",27,0,Oct 11,11.10.2010,1,Pay scale begins at $11.28/hr
Business Analyst (1 Year Temporary),0600297,Information Technology,0,Filled,"October 07, 2010 at 11:08 AM",21,1,Aug 30,30.08.2010,1.0,"Pay scale begins at a minimum of $57,000/yr. Qualifications considered for offer."
Online Adjunct Faculty--B 361: Operations Management,0600396,Online Learning Administration,0,Filled,"March 18, 2011 at 05:23 PM",1,1,Feb 16,16.02.2011,,$815 per course credit hour (most courses are 2-3 credits)
Temporary Faculty - Mathematics,0600399,Academic Office,0,Filled,"June 15, 2011 at 03:39 PM",10,0,Mar 16,16.03.2011,,Dependent on Education and Experience
Temporary Faculty - Welding/Manufacturing (1-3 year appointment),0600378,Academic Office,0,Cancelled,"May 05, 2011 at 02:38 PM",7,1,Open Until Filled,16.01.2011,,Dependent on Education and Experience
Activities Resources Coordinator (2 Positions),0600398,Student Activities,0,Filled,"March 03, 2011 at 01:31 PM",123,4,Feb 03,03.02.2011,1.0,"Starting salary $39,960/yr"
Academic Outreach & Retention Specialist,0600397,Online Instruction,0,Filled,"October 10, 2011 at 11:11 AM",27,0,Feb 02,02.02.2011,1.0,"Starting salary $57,000/yr."
Digital Content / Intellectual Property Rights Specialist,0600389,Academic Technology Services,0,Filled,"March 03, 2011 at 01:28 PM",14,0,Jan 24,24.01.2011,1.0,"Starting salary $57,000"
Temporary Faculty - Foreign Languages (Spanish),0600402,Academic Office,0,Filled,"June 15, 2011 at 03:40 PM",13,0,Mar 16,16.03.2011,,Dependent on Education and Experience
Audio Production Engineer,0600327,Events Management,0,Cancelled,"January 12, 2011 at 11:13 AM",10,0,Feb 02,02.02.2011,1.0,"Starting salary $44,900"
Office Assistant II,0600302,Student Activities,0,Filled,"November 05, 2010 at 09:41 AM",87,2,Sep 20,20.09.2010,1.0,"The pay scale begins at $31,900/yr."
Student Services & Outreach Manager,,Online Degrees & Services,0,Filled,"September 27, 2010 at 10:20 AM",11,0,Aug 23,23.08.2010,1,"Payscale begins at a minimum of $50,650/yr; employees should meet with HR for more information"
Buyer,0600353,Purchasing & Travel,0,Filled,"March 02, 2011 at 09:26 AM",38,1,Nov 30,30.11.2010,1,"Starting salary $44,955/yr"
